adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,"[27, 53]",756999,en,The Black Phone,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",5159.089,/p9ZUzCyy9wRTDuuQexkQ78R2BgF.jpg,2022-06-22,The Black Phone,False,7.9,856
False,/6d1mHKcozT5AaZeI76ehJrBt0hr.jpg,[27],864370,zh,咒,"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse.  WARNING: This is a cursed video, it might contain certain risks to watch ; For those who dares to follow, please solve the puzzle of my daughter's curse with me .",1759.068,/6zltP23zLGPogsHZUazSrrwNuKs.jpg,2022-03-18,Incantation,False,7.5,108
False,/mTupUmnuwwAyA0CNqpwaZn5mqjk.jpg,"[28, 27, 53, 10752, 14]",697799,en,WarHunt,"1945. A U.S. military cargo plane loses control and violently crashes behind enemy lines in the middle of the German black forest. Major Johnson sends a squad of his bravest soldiers on a rescue mission to retrieve the top-secret material the plane was carrying, led by Sergeants Brewer and Walsh. They soon discover hanged Nazi soldiers and other dead bodies bearing ancient, magical symbols. Suddenly their compasses fail, their perceptions twist and straying from the group leads to profound horrors as they are attacked by a powerful, supernatural force.",1479.467,/9HFFwZOTBB7IPFmn9E0MXdWave3.jpg,2022-01-21,WarHunt,False,5.4,41
False,/h6XfgbzQEV4sitsIVY63pawLI0s.jpg,"[35, 27, 10752]",613093,es,Malnazidos,"They're soldiers on different sides of the war. But when the dead come back to life, the only side they want to be on is the one that survives.",953.803,/avokvOwhjVR9GgISsSSgb2A343G.jpg,2022-03-11,Valley of the Dead,False,6.1,70
False,/9hhRzLzP1enjENXiGJocAHyWFmS.jpg,[27],869399,es,La pasajera,"Four people traveling in a van run over a lone woman while she is walking in the dark down a country road. After loading her into the vehicle to take her to the nearest hospital, they notice that she is behaving rather strangely. The occupants of the van soon realise that the time has come to fight for their lives, and together they agree on one very simple rule: ""do not sit next to her.""",895.637,/6bYCDIYqT3GpE6ICnMP6HvUlJMT.jpg,2022-06-03,The Passenger,False,7.4,7
False,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,[27],836225,en,The Exorcism of God,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",837.053,/hangTmbxpSV4gpHG7MgSlCWSSFa.jpg,2022-03-11,The Exorcism of God,False,7,331
False,/jVGHRpSgtE2MQLJhC5q4lXmPNQW.jpg,"[27, 53, 28]",960258,en,Shark Bait,"A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk.",628.065,/mVVU9zC8snNHlcqYONY2HOsh9ob.jpg,2022-05-13,Shark Bait,False,6.6,83
False,/tzNx4y7kYf1Xw3F3T6QxrE7PPwb.jpg,"[53, 18, 80, 9648, 27]",825808,en,See for Me,"When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive.",560.927,/qk1ZERG6yhwAJqTobmDgw8jRL2C.jpg,2022-01-07,See for Me,False,6.2,85
False,/xHRabofjmMGoIV3mb6xgy4nwOcS.jpg,[27],801071,en,The Jack in the Box: Awakening,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",512.659,/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,2022-02-24,The Jack in the Box: Awakening,False,5.8,60
False,/An1nKjXahrChfEbZ3MAE8fsiut1.jpg,[27],661791,es,La abuela,"A Paris model must return to Madrid where her grandmother, who raised her, has had a stroke. But spending just a few days with this relative turns into an unexpected nightmare.",498.885,/eIUixNvox4U4foL5Z9KbN9HXYSM.jpg,2022-01-28,The Grandmother,False,5.9,215
