adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/kL43eS5GTD7YiN0deVfbMrNTifB.jpg,"[27, 53]",981361,ta,13,,5.39,/nWv5ZIy54nN3D3egowA2kLBb2BE.jpg,2022-10-15,13,False,0,0
False,/wbXW7wwsqfBJ31g58w6ZTbEySIT.jpg,"[27, 35]",920419,en,Tiny Cinema,A mysterious stranger tells the twisted tale of seemingly unconnected strangers caught in a series of otherworldly events whose lives will change in incredible ways forever.,4.252,/haymRE8d8rCNolngLVMsJoY8Ymo.jpg,2022-09-02,Tiny Cinema,False,5,7
False,,"[27, 53]",1014659,en,Incantation,"As her life spirals out of control, a rebellious undergrad begins practicing a forbidden witchcraft to help her grades; but when she unknowingly unleashes a deadly curse that threatens her father's life, she will be forced to pass her biggest test yet.",6.262,/1l4hxdc7PyYgZ0DeZtC0WPU3GOI.jpg,2022-08-18,Incantation,False,8.5,2
False,/lM6C2S073XFzAqYKHCJ3IJghcHg.jpg,"[27, 28]",924323,en,Exorcist Vengeance,"When a prominent family is terrorized by a demonic force, a priest that the Vatican calls upon to do their dirty work has to root out the evil, soon realizing that the solution to this mystery is tied to his own past.",8.315,/kwEUYNwsRzZMLvgcC7978GhDlUE.jpg,2022-05-30,Exorcist Vengeance,False,10,1
False,/iaZqpmhYs4KxNx6M89CesZiMdCv.jpg,[27],901418,en,Croc!,"Deep in the English countryside, Lisa and Charlie prepare for their wedding at a Tudor mansion. But an angry crocodile lies in wait, determined to ruin their big day.",6.012,/u4Xq3M0NMAimB95tgGLblTeVThn.jpg,2022-08-25,Croc!,False,2,1
False,/6k0FfSAjCTwRr85HO0clTCbQ45k.jpg,"[27, 53]",512198,en,Dead Bride,"After her father’s death, Alyson, her partner Richard and their baby return to her childhood home. Following a few shocking supernatural events, Alyson discovers that she and her family have been living with a terrible curse, unleashed in the past by a bride killed by Alyson’s grandfather. Soon after Alyson’s child disappears and she has no choice but to embark on a frightening journey into the underworld, to free herself from the bride’s curse and to look for her daughter.",5.468,/4aiPJnt6C4m4Sd0qANMFWnfuvDF.jpg,2022-10-03,Dead Bride,False,4.5,2
False,/jdDwh320DbbHvNh77MmV5VjiXSI.jpg,"[27, 53]",983526,no,Leave,"A young woman tries to find her origins after having been abandoned as an infant at a cemetery wrapped in a cloth with satanic symbols, but as she gets closer to answers a malevolent spirit is telling her to leave.",6.397,/lwJqH2xT8gZjtqVd7c5NKDY86gg.jpg,2022-10-28,Leave,False,0,0
False,/fW5dnV7fpkJ9owGl29viaCpJjYN.jpg,"[53, 27]",1027492,en,The Peeper,Strange things happened in the pole dance gym after the trainer caught a peeper behind the door.,7.975,/9kAGNDznsKmNRws6uTaAtyaEqvu.jpg,2022-10-25,The Peeper,False,0,0
False,/txDQXJIwxk3wgwYO6qIQnb6gGRY.jpg,"[27, 53]",916735,en,Mid-Century,A husband and wife's weekend in a mid-century modern vacation rental turns deadly when the husband discovers the owner is a psychopath with a backyard of buried secrets and designs on his wife.,8.228,/v3twbN3ScvJAHPdvDPXemRU9sC3.jpg,2022-06-17,Mid-Century,False,5.5,8
False,/gHYXC9msBIgoqTLhtFOxSVClDsN.jpg,"[53, 10749, 27]",911926,en,Issac,"Issac, a young reclusive mortician who inherited his stepfather's mortuary business, meets a friendly waitress, Cassi. The two create an instant connection and after a night of terror, they pursue a revenge murder together.",4.877,/5y0CHTwQ1Rw1xcCc6TsqeFyd9Ji.jpg,2022-11-17,Issac,False,0,0
