adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/GLLgrghu7wSPaSjl2Rw4kjASOJ.jpg,"[27, 53]",756999,en,The Black Phone,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",1530.89,/bxHZpV02OOu9vq3sb3MsOudEnYc.jpg,2022-06-22,The Black Phone,False,7.2,162
False,/jVGHRpSgtE2MQLJhC5q4lXmPNQW.jpg,"[27, 53, 28]",960258,en,Shark Bait,"A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk.",1439.137,/mVVU9zC8snNHlcqYONY2HOsh9ob.jpg,2022-05-13,Shark Bait,False,6.9,63
False,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,[27],836225,en,The Exorcism of God,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",1022.255,/hangTmbxpSV4gpHG7MgSlCWSSFa.jpg,2022-03-11,The Exorcism of God,False,6.9,271
False,/tzNx4y7kYf1Xw3F3T6QxrE7PPwb.jpg,"[53, 18, 80, 9648, 27]",825808,en,See for Me,"When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive.",901.497,/qk1ZERG6yhwAJqTobmDgw8jRL2C.jpg,2022-01-07,See for Me,False,6.3,75
False,/egS5SHI4Ppwmb65lUjqsy79ASnN.jpg,[27],756681,es,Veneciafrenia,A group of spanish tourists in Venice finds themselves fighting for their lives against locals that are not too keen on foreigners.,715.627,/luMC56bwZqaECYRz6X7sXjqN6nd.jpg,2022-04-21,Veneciafrenia,False,5.7,79
False,/5DCIRgOrCTayoCGggVn1kyqs1Vh.jpg,"[53, 27]",945657,en,Titanic 666,"After a mammoth cruise ship sails over the site of the Titanic’s disaster, dark and deadly events start to occur on board. As the ship’s captain investigates the tragic occurrences, it becomes clear that the passengers and crew from the original Titanic have returned.",625.57,/EX0ITg5YqDgFHjujpTNhEPaJSL.jpg,2022-04-15,Titanic 666,False,5.5,36
False,/An1nKjXahrChfEbZ3MAE8fsiut1.jpg,[27],661791,es,La abuela,"A Paris model must return to Madrid where her grandmother, who raised her, has had a stroke. But spending just a few days with this relative turns into an unexpected nightmare.",618.29,/eIUixNvox4U4foL5Z9KbN9HXYSM.jpg,2022-01-28,The Grandmother,False,5.9,195
False,/qhRQLTYnGWvI4nYE05DaDjgvCna.jpg,"[878, 27, 53]",897424,en,Dark Cloud,"Following the aftermath of a horrific accident, a woman is voluntarily subjected to artificial intelligence for rehabilitation.",576.266,/q1ngkvPCnOYKeyNZjg8QqvaSnuZ.jpg,2022-05-09,Dark Cloud,False,6.7,30
False,/xHRabofjmMGoIV3mb6xgy4nwOcS.jpg,[27],801071,en,The Jack in the Box: Awakening,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",569.943,/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,2022-02-24,The Jack in the Box: Awakening,False,5.9,54
False,/i0zbSmiyyylh7H3Qb4jgscz46Pm.jpg,[27],893370,es,Virus :32,A virus is unleashed and a chilling massacre runs through the streets of Montevideo.,528.585,/wZiF79hbhLK1U2Pj9bF67NAKXQR.jpg,2022-04-21,Virus:32,False,7.3,92
False,/2il2HT8v6NAN7oinOCuHKpEhgnB.jpg,"[27, 53]",833425,en,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",439.015,/5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,2022-02-25,No Exit,False,6.9,571
